INST_NAME,STATE,STATE_FIPS,CC_BASIC,CONTROL,FAM_INC,SAT_AVG,ADM_RATE,UG_ENRL,AVG_FAC_SAL,RET_RATE,AVG_GRANT,MD_EARN_10,MN_EARN_10,UNEMP_RATE,GRAD_DEBT_MDN,GRAD_RATE_6,GRAD_RATE_4
Thomas Jefferson University,PA,42,R2,0,58967.75238,1163,0.5827,3495,8243,0.8067,0.3188,80300,99300,3.640000105,15750,0.6365,0.5118
Villanova University,PA,42,R2,0,139368.1866,1407,0.2922,6819,11165,0.954,0.1144,77900,87600,2.690000057,26000,0.9091,0.8713
Widener University,PA,42,R3,0,92462.3426,1115,0.692,3201,8652,0.7877,0.2384,53400,59100,3.49000001,27000,0.6335,0.5099
Wilkes University,PA,42,R3,0,73821.00145,1153,0.7482,2358,9093,0.7587,0.326,51600,58600,3.109999895,26000,0.5976,0.4975
Brown University,RI,44,R1,0,107609.6323,1492,0.0767,6752,15579,0.9825,0.1398,67500,89100,3.279999971,15500,0.9504,0.8467
University of Rhode Island,RI,44,R2,1,93356.13382,1160,0.6948,13743,9488,0.8368,0.2366,52900,58400,3.170000076,23000,0.673,0.4901
Clemson University,SC,45,R1,1,96551.19783,1337,0.4719,19564,10218,0.9299,0.1721,52400,58900,3.049999952,21500,0.8296,0.5931
University of South Carolina-Columbia,SC,45,R1,1,94373.02066,1287,0.6306,26300,10744,0.8813,0.2076,44900,53900,3.25999999,22724,0.7702,0.6245
South Dakota State University,SD,46,R2,1,81413.13972,1149,0.9243,9314,8255,0.7656,0.2178,44400,50200,2.480000019,24250,0.5634,0.3641
University of South Dakota,SD,46,R2,1,74909.43071,1135,0.858,6228,7895,0.7499,0.2271,42000,49500,2.559999943,25000,0.5793,0.4011
Belmont University,TN,47,R3,0,110626.4183,1250,0.8247,6620,10088,0.8372,0.1653,44100,51500,2.75999999,20640,0.7255,0.6209
Carson-Newman University,TN,47,R3,0,58287.7868,1137,0.6603,1695,6103,0.6663,0.4142,36000,41300,3.230000019,21250,0.5077,0.4018
Lipscomb University,TN,47,R3,0,72032.35813,1225,0.5951,2914,7762,0.8003,0.2621,43200,51500,2.829999924,22375,0.6547,0.5411
East Tennessee State University,TN,47,R2,1,47096.87577,1167,0.8713,10760,7304,0.7445,0.4081,35100,40600,3.160000086,20785,0.4472,0.2337
Lincoln Memorial University,TN,47,R3,0,45354.05449,1116,0.5971,1861,6577,0.7365,0.4669,38200,41600,3.559999943,18500,0.5673,0.5477
University of Memphis,TN,47,R2,1,44018.18933,1133,0.843,15563,8934,0.7572,0.4573,37400,43200,4.099999905,25000,0.478,0.222
Middle Tennessee State University,TN,47,R3,1,49901.39063,1149,0.9353,18001,8410,0.7604,0.4026,38700,44400,3.230000019,22500,0.4422,0.2143
The University of Tennessee-Chattanooga,TN,47,R3,1,63770.54633,1185,0.7562,10152,8558,0.7256,0.3388,38100,42600,3.400000095,21184,0.4777,0.2638
The University of Tennessee-Knoxville,TN,47,R1,1,75150.2619,1303,0.7778,22653,11076,0.8615,0.2644,45100,56700,3.029999971,20500,0.725,0.4856
Tennessee Technological University,TN,47,R2,1,52902.42402,1189,0.7576,8805,8176,0.7667,0.3629,40500,46700,3.109999895,17566,0.5514,0.2926
Trevecca Nazarene University,TN,47,R3,0,51828.94072,1121,0.6403,2189,6840,0.7649,0.3778,40500,49000,3.039999962,18350,0.547,0.4267
Union University,TN,47,R3,0,56303.63443,1259,0.5742,2061,7715,0.8703,0.2395,43200,49600,3.329999924,25000,0.7065,0.6524
Vanderbilt University,TN,47,R1,0,91752.13253,1514,0.0961,6840,13877,0.9675,0.1471,69000,86200,2.960000038,15000,0.9363,0.8926
Baylor University,TX,48,R2,0,104705.3694,1307,0.3895,14159,9968,0.8923,0.1901,51600,58400,3.119999886,24250,0.7908,0.6275
Texas A & M University-Corpus Christi,TX,48,R2,1,54889.16449,1068,0.8699,9672,8252,0.5698,0.4092,43400,48600,3.940000057,23000,0.3685,0.1674
Dallas Baptist University,TX,48,R3,0,65503.45169,1145,0.8807,2931,8253,0.7386,0.2879,43200,49200,3.130000114,22250,0.5287,0.4179
Texas A & M University-Commerce,TX,48,R3,1,43662.63093,1050,0.3437,8201,8249,0.6633,0.473,39300,41900,3.5,21500,0.4,0.2448
University of Houston,TX,48,R1,1,49662.46196,1220,0.6234,37291,11900,0.8487,0.3975,51600,60600,3.819999933,19000,0.5946,0.2961
University of the Incarnate Word,TX,48,R3,0,50920.11496,1044,0.8794,5312,8311,0.7486,0.4137,46500,52500,3.450000048,27666,0.4877,0.2586
Lamar University,TX,48,R3,1,49011.7091,1043,0.8432,8623,8052,0.6399,0.4025,39500,46000,4.199999809,21250,0.2734,0.0943
University of North Texas,TX,48,R1,1,58313.49225,1163,0.7105,31375,9978,0.7802,0.3706,45000,49300,3.089999914,20056,0.5316,0.2983
Our Lady of the Lake University,TX,48,R3,0,39792.83333,1002,0.9273,1383,7204,0.6545,0.6148,39300,42500,4.010000229,25584,0.3694,0.207
The University of Texas Rio Grande Valley,TX,48,R2,1,29153.61256,1035,0.8104,24596,6192,0.7774,0.6296,41900,44200,6.28000021,11661,0.4587,0.2127
Rice University,TX,48,R1,0,84483.63507,1513,0.1113,3962,15985,0.9703,0.1472,65400,91600,3.109999895,11989,0.9471,0.8554
Sam Houston State University,TX,48,R3,1,54799.38104,1075,0.7854,18498,7744,0.7624,0.3679,44600,49700,3.5,22200,0.5209,0.2991
Southern Methodist University,TX,48,R2,0,107171.9955,1395,0.5123,6448,12829,0.9079,0.1248,60700,77900,2.819999933,19500,0.7796,0.6765
Stephen F Austin State University,TX,48,R3,1,62127.70115,1085,0.6765,10474,7716,0.7107,0.4153,41900,46400,3.599999905,25000,0.4844,0.3021
Texas State University,TX,48,R2,1,61131.09751,1109,0.4554,34187,8000,0.7742,0.3665,45700,51100,3.25999999,20992,0.5547,0.2859
Texas A & M University-Kingsville,TX,48,R2,1,41069.33169,1035,0.8911,5811,7914,0.6746,0.4551,42600,49300,4.679999828,22532,0.3727,0.2026
Texas A & M University-College Station,TX,48,R1,1,79762.69717,1291,0.6762,53194,11879,0.9186,0.2154,58000,67800,3.349999905,18500,0.8193,0.5516
The University of Texas at Arlington,TX,48,R1,1,48507.00901,1157,0.7952,34024,9243,0.7225,0.3609,48700,54000,3.279999971,18708,0.4933,0.2302
The University of Texas at Austin,TX,48,R1,1,75674.3235,1367,0.3852,40329,12940,0.9475,0.2262,58200,73900,3.25999999,20000,0.8276,0.6089
The University of Texas at Dallas,TX,48,R1,1,54392.73044,1330,0.6922,19837,12652,0.8803,0.3434,53100,61400,2.859999895,18250,0.7234,0.5447
The University of Texas at El Paso,TX,48,R1,1,32992.56856,1035,0.9999,21291,9055,0.7343,0.5867,40000,43300,5.019999981,18251,0.3938,0.1493
The University of Texas at Tyler,TX,48,R3,1,50129.17727,1184,0.7829,6732,8366,0.6266,0.3344,44200,50500,3.539999962,17750,0.4519,0.2628
Texas Christian University,TX,48,R2,0,109988.2484,1287,0.4073,9407,11766,0.9106,0.1389,52800,62600,2.839999914,21000,0.8254,0.6923
The University of Texas at San Antonio,TX,48,R2,1,52852.47222,1131,0.7903,27380,9062,0.735,0.4385,45300,49600,3.380000114,21473,0.3969,0.1764
Texas Southern University,TX,48,R2,1,31007.67183,920,0.5663,7604,7598,0.5541,0.6331,31300,37600,5.039999962,30347,0.2135,0.0698
Texas Tech University,TX,48,R1,1,72431.10682,1175,0.7067,30795,9228,0.846,0.281,51400,61600,3.029999971,21500,0.6008,0.3388
Texas Wesleyan University,TX,48,R3,0,40082.83688,1047,0.3586,1445,7651,0.5404,0.5245,42000,44400,3.369999886,23000,0.3777,0.2518
Texas Woman's University,TX,48,R3,1,45407.03432,1059,0.868,9336,8515,0.7515,0.4146,44700,49100,3.279999971,20500,0.4307,0.22
Brigham Young University-Provo,UT,49,R2,0,59069.90834,1324,0.6447,31441,10974,0.89,0.3748,59700,71500,3.349999905,12100,0.8644,0.218
Utah State University,UT,49,R2,1,55518.88421,1201,0.8905,21658,9214,0.707,0.3515,43200,49600,3.569999933,14000,0.4959,0.2052
University of Utah,UT,49,R1,1,57205.34677,1236,0.6686,23396,10727,0.8946,0.2777,53000,63500,3.170000076,17500,0.695,0.3248
William & Mary,VA,51,R2,1,114454.0884,1410,0.3692,6349,11141,0.9505,0.1208,58500,74500,2.609999895,18325,0.9111,0.8517
Regent University,VA,51,R3,0,38934.09009,1057,0.8167,4161,8175,0.7712,0.544,41600,45600,3.329999924,24500,0.5859,0.4541
George Mason University,VA,51,R1,1,64723.11185,1227,0.8106,25508,10953,0.8724,0.302,59900,63900,2.190000057,20000,0.6999,0.4737
Liberty University,VA,51,R3,0,45801.48732,1133,0.5554,45370,6368,0.8288,0.4487,36700,41400,3.089999914,25837,0.4981,0.3482
Mary Baldwin University,VA,51,R3,0,44545.51523,1053,0.9991,1248,6933,0.6807,0.5502,37200,39500,2.650000095,27000,0.4711,0.4298
Old Dominion University,VA,51,R2,1,54239.41465,1093,0.8699,19194,8428,0.7914,0.3976,43700,48700,3.039999962,24385,0.5159,0.2696
Shenandoah University,VA,51,R3,0,83916.8915,1103,0.7029,2022,7911,0.8175,0.254,45800,52300,2.440000057,25000,0.5777,0.4573
Virginia Polytechnic Institute and State University,VA,51,R1,1,104698.1443,1293,0.6485,27730,11660,0.9293,0.1605,62500,67100,2.440000057,22895,0.8373,0.6346
Virginia Commonwealth University,VA,51,R1,1,70086.77507,1172,0.8625,22497,9306,0.8366,0.2848,44000,49700,2.779999971,23250,0.6708,0.4448
University of Virginia-Main Campus,VA,51,R1,1,100900.1685,1427,0.2643,16405,14278,0.9672,0.1293,61200,79400,2.529999971,17756,0.9431,0.8897
University of Vermont,VT,50,R2,1,112888.0259,1289,0.6756,10612,10205,0.8651,0.1559,47300,55200,2.789999962,21504,0.7633,0.6479
Gonzaga University,WA,53,R3,0,128655.7853,1282,0.6562,5237,9633,0.941,0.1333,56100,63800,3.769999981,24700,0.8583,0.7322
Seattle Pacific University,WA,53,R3,0,83420.68588,1145,0.9008,2861,8536,0.7955,0.2938,49100,54200,3.390000105,24500,0.6786,0.5306
Seattle University,WA,53,R3,0,98105.72897,1246,0.7565,4674,9586,0.8479,0.1984,56500,63200,3.5,23000,0.737,0.6104
Washington State University,WA,53,R1,1,64048.05353,1123,0.7719,25675,9888,0.8009,0.323,50600,56600,4.25,20050,0.5889,0.3524
University of Washington-Seattle Campus,WA,53,R1,1,60177.92809,1347,0.4869,30905,13086,0.9408,0.2161,57700,69600,3.619999886,15000,0.8416,0.6652
Cardinal Stritch University,WI,55,R3,0,52630.68034,1035,0.7094,1107,6048,0.7459,0.3487,48500,55400,3.74000001,28354,0.5062,0.2756
Concordia University-Wisconsin,WI,55,R3,0,70980.02027,1150,0.6473,3272,6273,0.7879,0.3532,42800,47300,3.279999971,25003,0.5858,0.4324
Edgewood College,WI,55,R3,0,71249.21883,1133,0.7288,1435,6200,0.7758,0.3075,43300,47600,2.619999886,25000,0.6324,0.4265
Marquette University,WI,55,R2,0,116442.7925,1271,0.8166,8200,9938,0.8822,0.176,62600,70700,2.890000105,24623,0.8469,0.6668
University of Wisconsin-Madison,WI,55,R1,1,106025.0708,1365,0.5173,30360,12350,0.9537,0.1412,56200,68000,2.829999924,20500,0.8722,0.6078
University of Wisconsin-Milwaukee,WI,55,R1,1,65616.18962,1120,0.7403,21027,8540,0.7374,0.3497,44200,48200,3.220000029,25000,0.4429,0.1816
University of Charleston,WV,54,R3,0,56138.78306,1057,0.5042,1910,6531,0.6332,0.3535,40800,46800,3.660000086,21000,0.4667,0.3792
Marshall University,WV,54,R2,1,55088.46275,1100,0.9062,8086,7651,0.7205,0.4227,35600,41700,3.890000105,23500,0.4591,0.2661
West Virginia University,WV,54,R1,1,76249.31649,1169,0.8161,20499,10123,0.777,0.2416,45800,52700,3.359999895,23872,0.5953,0.3622
University of Wyoming,WY,56,R2,1,69591.5,1202,0.9603,9854,9846,0.7818,0.2181,47300,54200,3.279999971,18498,0.567,0.2708
